"","AS","BA","BB","BC","CA","CR","FC","FV","GB","KC","MC","ML","OF","PC","PR","PT","SB","SC","SH","SL","TB","WC","WF","WH"
"locus15",0.0417,0,0,0.2273,0,0,0,0.0455,0,0.1,0,0.0556,0,0.0417,0,0,0,0,0,0.1111,0.1,0,0.0455,0
"locus16",0.0417,0,0.05,0,0,0,0,0.0909,0,0.05,0,0,0,0,0,0,0,0.2222,0.0833,0.4444,0.1,0,0.1364,0.0417
"locus17",0.25,0,0,0,0,0.125,0.1667,0.1818,0,0.05,0.0625,0.1111,0.0625,0.0417,0.1111,0,0.0625,0.1111,0,0.1111,0.35,0.05,0.1364,0
"locus18",0.0417,0,0.15,0,0,0,0,0.0455,0,0,0,0,0,0,0.0556,0,0,0.1667,0,0.3889,0,0,0,0
"locus19",0.5,0.375,0.2,0.5,0,0.0417,0.0556,0.3182,0.25,0.05,0.375,0,0.375,0,0.3333,0.3333,0.375,0.2222,0.0833,0.3889,0.5,0.35,0.5,0.0417
"locus20",0.0833,0,0.1,0.0455,0,0.0417,0,0.0455,0,0,0.0625,0,0,0,0.2222,0.1667,0.0625,0,0,0.0556,0,0,0.0455,0.0417
"locus21",0,0,0,0,0,0.0417,0,0,0,0,0,0,0.125,0.1667,0,0,0,0,0,0,0,0.45,0,0
"locus22",0.25,0.4375,0.35,0.2273,0.4286,0.2917,0.2778,0.4091,0.25,0.5,0.4375,0.3889,0.25,0.4167,0.3333,0.3333,0.25,0.3333,0.25,0.2222,0.45,0.35,0.2727,0.2083
"locus23",0.2083,0.4375,0.45,0.3182,0.4286,0.4167,0.3333,0.4091,0.25,0.45,0.4375,0.2778,0.5,0.5,0.3333,0.3333,0.375,0.2778,0.3333,0.4444,0.35,0.4,0.2727,0.375
"locus24",0,0.1875,0,0,0.0714,0.0833,0.0556,0,0,0.05,0,0,0,0,0,0,0.0625,0,0,0,0,0,0.0455,0.125
"locus25",0.0417,0.0625,0,0.0455,0.1429,0.125,0.1111,0.0455,0.0625,0.15,0,0.1111,0,0.1667,0,0,0.1875,0,0.0833,0.1667,0,0,0,0.125
"locus26",0,0.1875,0,0.0455,0,0.375,0,0,0,0.45,0.0625,0.3889,0.125,0,0,0,0,0,0,0,0.05,0,0.0455,0.0417
"locus27",0,0,0,0,0,0,0.3333,0,0.0625,0,0.0625,0,0,0,0,0,0,0,0.0833,0.0556,0,0,0.1364,0.3333
"locus28",0.0833,0,0,0,0,0.0417,0,0.1364,0.125,0.05,0.0625,0,0.0625,0.0417,0.1667,0.1667,0,0.1667,0,0,0.05,0,0.0455,0
"locus29",0.4167,0.25,0.4,0.4545,0.3571,0.3333,0.4444,0.3636,0.375,0.2,0.375,0.0556,0.375,0.375,0.2222,0.3333,0.4375,0.3889,0.0833,0.3333,0.35,0.25,0.2273,0.4583
"locus30",0.2083,0,0,0,0,0,0,0,0,0,0.0625,0,0,0.0833,0.2222,0.1667,0,0.2222,0,0.0556,0.1,0,0.1364,0
"locus31",0.0833,0,0,0,0,0,0.0556,0,0.0625,0,0,0,0,0.0417,0.0556,0,0,0.3333,0,0.3889,0,0,0.0909,0
"locus32",0.0833,0.25,0,0,0,0,0,0,0,0,0,0.0556,0,0,0.0556,0,0.0625,0,0,0.2778,0.05,0,0,0.0417
"locus33",0.2917,0,0,0.0455,0,0,0.1111,0,0,0.1,0.0625,0,0.3125,0.1667,0.0556,0.1667,0.0625,0,0,0.0556,0,0.2,0.3636,0.0417
"locus34",0,0.3125,0.1,0,0,0.0833,0,0,0,0.3,0,0.3889,0.25,0,0,0,0,0,0,0,0.05,0.15,0,0
"locus35",0.0417,0.125,0.05,0,0,0.1667,0.0556,0,0.0625,0,0,0,0,0,0.1667,0,0,0.0556,0,0,0,0,0,0
"locus36",0.4583,0.25,0.35,0.3182,0.2857,0.4167,0.4444,0.3636,0.25,0.2,0.375,0.4444,0.25,0.3333,0.4444,0.3333,0.3125,0.3333,0.5,0.3333,0.35,0.4,0.4545,0.2083
"locus37",0,0,0,0.0455,0,0,0.1111,0,0,0,0.1875,0,0,0,0,0,0,0,0.1667,0.0556,0,0,0,0.0417
"locus38",0,0,0,0,0.2857,0.0833,0,0,0,0.1,0,0.1111,0,0.0417,0,0,0,0,0,0,0,0,0.0909,0
"locus39",0.3333,0.4375,0.35,0.3182,0.4286,0.5,0.3333,0.4091,0.25,0.5,0.4375,0.5,0.3125,0.5,0.3889,0.3333,0.4375,0.3333,0.25,0.2778,0.3,0.4,0.1818,0.4583
"locus40",0.0417,0,0.05,0,0,0,0,0.0455,0.25,0,0.0625,0,0.0625,0,0.1111,0,0,0.0556,0.25,0.0556,0.05,0,0.0455,0.0417
"locus41",0.125,0,0.15,0,0,0,0.0556,0.3182,0,0.05,0.0625,0,0.125,0.1667,0.0556,0,0.25,0,0,0.0556,0.15,0.15,0.1364,0.2083
"locus42",0,0,0.3,0,0,0,0,0.1364,0,0.05,0,0,0.1875,0.25,0,0,0.1875,0.0556,0,0,0,0.35,0,0
"locus43",0.0417,0.125,0.1,0.0909,0.0714,0.125,0,0.1364,0,0,0,0.0556,0.0625,0,0,0,0.0625,0.0556,0,0.1667,0,0.05,0.1818,0
"locus44",0,0.4375,0.1,0,0.2857,0.4167,0,0.0909,0.0625,0.3,0.125,0.3333,0.25,0.1667,0.0556,0.3333,0,0.1111,0,0.0556,0.05,0.2,0.0455,0.0833
"locus45",0.125,0,0.1,0.1818,0,0.0417,0,0.3182,0,0.05,0.1875,0,0,0.0417,0.3889,0.3333,0,0.2778,0.3333,0,0.35,0.05,0.0909,0
"locus46",0.2917,0.1875,0.15,0.0455,0,0.0833,0,0.1364,0,0.25,0,0,0.0625,0.125,0.0556,0.1667,0.25,0.1667,0,0.0556,0,0.05,0.2273,0
"locus47",0.0417,0.0625,0,0,0.0714,0.2083,0,0,0,0.45,0.125,0.2222,0,0,0,0,0,0,0,0,0.05,0,0,0.0833
"locus48",0,0,0,0,0,0,0.2222,0,0,0.05,0.3125,0,0.0625,0.125,0,0,0.125,0,0.0833,0,0,0,0,0.0417
"locus49",0.1667,0,0.05,0.0909,0.2143,0,0.1111,0.0455,0,0,0,0,0,0,0,0,0.0625,0,0,0.0556,0.2,0.15,0,0.0833
"locus50",0.375,0.125,0.2,0.4091,0,0.0417,0.1111,0.3182,0.1875,0.1,0.4375,0.0556,0.4375,0.3333,0.4444,0.3333,0.4375,0.2222,0.25,0.3889,0.3,0.35,0.5,0.0417
"locus51",0.1667,0.0625,0.05,0,0,0,0.0556,0.0909,0.3125,0,0,0.1111,0.0625,0,0.1111,0.1667,0.0625,0.0556,0.0833,0.4444,0.1,0,0,0
"locus52",0.125,0.375,0.45,0.3182,0.3571,0.25,0.3333,0.4545,0.1875,0.4,0.125,0.4444,0.4375,0.4167,0.0556,0.1667,0.25,0.2778,0.3333,0.0556,0.2,0.3,0.0909,0.0833
"locus53",0,0.0625,0,0,0,0,0,0.0455,0,0,0,0,0,0,0.0556,0,0.125,0.1667,0,0.1111,0.1,0.05,0.0455,0
"locus54",0.0417,0.25,0.2,0,0.3571,0.0833,0.2222,0.1818,0,0.1,0.125,0,0.1875,0.1667,0.2778,0,0.3125,0.2222,0,0.1111,0.05,0.1,0.0909,0.0417
"locus55",0,0,0,0,0,0,0,0,0,0.05,0.125,0,0,0.375,0,0.5,0.125,0,0.4167,0,0,0.15,0.0455,0
"locus56",0,0,0,0,0.5,0,0.3333,0,0,0,0,0,0,0,0,0,0,0,0.0833,0,0,0,0,0.1667
"locus57",0,0.4375,0.1,0.1364,0.4286,0.4583,0.2222,0.0455,0,0.5,0.0625,0.3889,0.25,0.0833,0.1111,0,0,0.0556,0.3333,0,0.05,0.05,0.0909,0.0417
"locus58",0,0.1875,0.05,0,0,0,0,0.0455,0,0,0,0.3333,0,0.0417,0,0.1667,0,0,0.0833,0,0,0,0.0909,0.0417
"locus59",0.125,0,0,0.2273,0,0.0417,0,0.0455,0,0,0.0625,0,0,0,0,0.3333,0,0.0556,0,0,0.05,0.05,0,0
"locus60",0.0417,0.0625,0.15,0.2273,0,0.0833,0.1111,0.0909,0,0.2,0,0,0.125,0.375,0.0556,0.1667,0.1875,0.0556,0.0833,0,0.1,0.25,0,0
"locus61",0.25,0,0.05,0,0,0,0,0.1364,0,0.1,0,0.0556,0.0625,0.1667,0.2222,0,0,0.0556,0,0,0.05,0,0.0909,0
"locus62",0,0.25,0.1,0,0.2857,0.3333,0.1111,0.0455,0,0.3,0,0.3889,0.0625,0.0833,0,0,0,0,0.25,0.0556,0,0.1,0.0455,0.1667
"locus63",0.0417,0,0,0.0455,0,0,0,0.0455,0.125,0,0,0,0.25,0,0.0556,0.1667,0.0625,0,0,0,0.05,0,0.0455,0
"locus64",0,0,0.25,0.0455,0,0.0417,0.1667,0.0909,0.0625,0,0,0,0,0.2083,0.1667,0.1667,0.125,0,0,0,0.1,0.35,0,0.125
"locus65",0,0,0,0,0.2143,0.0833,0,0.0455,0.0625,0.15,0,0,0,0,0,0,0.0625,0,0,0.0556,0,0,0.1818,0
"locus66",0.4583,0,0.05,0.3636,0.0714,0.0833,0.2778,0.0455,0.25,0,0.375,0.1111,0.0625,0.0833,0.4444,0.3333,0.0625,0.2222,0.0833,0.5,0.45,0.1,0.4545,0.2917
"locus67",0.4583,0.5,0,0.3182,0.4286,0.2917,0.3333,0,0.125,0.35,0.4375,0.1667,0,0.0417,0.1111,0.1667,0.0625,0.1667,0.0833,0.3333,0.35,0,0.3636,0.25
"locus68",0.0417,0,0,0,0.2857,0.3333,0.1111,0,0,0,0,0,0,0,0,0,0,0,0.0833,0,0,0,0.1818,0.125
"locus69",0,0,0,0,0.3571,0,0.3889,0,0,0,0,0,0,0,0,0,0,0,0.25,0.0556,0,0,0.2273,0.4583
"locus70",0.3333,0.4375,0.15,0.3636,0.5,0.5,0.5,0.1364,0.3125,0.45,0.4375,0.2778,0.375,0.1667,0.2778,0.3333,0.1875,0.3889,0.3333,0.3333,0.45,0.3,0.1364,0.2917
"locus71",0.0833,0,0.05,0,0,0.125,0,0.0455,0.0625,0,0,0,0,0.0417,0.0556,0,0.3125,0.0556,0,0,0,0.05,0.0455,0
"locus72",0.0833,0.4375,0.15,0.0909,0.0714,0.375,0.0556,0.3182,0.125,0.4,0.3125,0.1667,0.25,0.375,0,0,0.3125,0.2778,0.3333,0.0556,0.15,0.2,0.1364,0.2083
"locus73",0.0417,0,0.25,0,0,0,0.1667,0.1364,0,0.05,0,0,0,0,0,0.1667,0.0625,0.0556,0,0,0,0,0,0.0417
"locus74",0.0417,0.125,0.05,0.1818,0,0.0417,0,0.0455,0,0,0,0,0,0.125,0.1667,0.3333,0,0.1111,0,0,0,0.05,0.0455,0.0417
"locus75",0.4167,0.1875,0.1,0.3182,0.1429,0.375,0.1111,0.2273,0.1875,0.05,0.125,0,0.125,0.2917,0.2222,0.3333,0.0625,0.1111,0.1667,0.1111,0.3,0.3,0.2727,0.1667
"locus76",0.125,0.3125,0.05,0,0.1429,0.4167,0.4444,0.1364,0.3125,0.3,0.25,0.1667,0.125,0,0.1111,0,0.0625,0.2778,0,0.0556,0.1,0.05,0.0455,0.25
"locus77",0.0417,0.125,0.05,0,0,0.2083,0.0556,0,0,0.15,0,0.3333,0,0.0833,0.0556,0,0.125,0,0,0,0,0.05,0.0455,0.125
"locus78",0.0417,0.1875,0,0,0.1429,0.2083,0,0,0.1875,0.3,0,0.2778,0.0625,0,0,0.1667,0,0.0556,0.1667,0,0.05,0.05,0,0.0417
"locus79",0,0.125,0.15,0,0,0.0417,0.0556,0.1818,0,0.05,0.0625,0.0556,0.3125,0.125,0,0,0.375,0.1667,0,0.0556,0.05,0,0.0455,0.125
"locus80",0.0417,0,0.15,0,0,0,0,0.0455,0,0.05,0.0625,0.1111,0.1875,0.125,0,0.1667,0,0,0.0833,0,0,0,0.0455,0
"locus81",0.0833,0.0625,0.3,0.0909,0,0.0833,0.1667,0.3636,0.0625,0.05,0.0625,0,0.375,0.3333,0.0556,0,0.375,0.5,0.1667,0.1111,0.1,0.25,0.0455,0.0417
"locus82",0,0,0,0.0909,0,0,0,0,0,0,0,0,0.0625,0,0,0,0,0,0,0.3889,0,0,0,0
"locus83",0,0.0625,0.1,0.0455,0.1429,0,0,0.1364,0,0.05,0,0.0556,0,0.0833,0,0,0,0,0.0833,0,0,0.05,0.0455,0
"locus84",0.4167,0.3125,0.25,0.4545,0.0714,0.1667,0.4444,0.0455,0.25,0.2,0.4375,0,0.3125,0.1667,0.2778,0.3333,0.3125,0.2778,0.1667,0.5,0.5,0.15,0.4545,0.3333
"locus85",0,0,0,0,0,0,0,0,0,0,0,0.1667,0,0.0417,0.1667,0,0,0.1667,0,0,0,0,0,0
"locus86",0,0,0,0,0.0714,0.0417,0.1111,0.1364,0,0,0,0,0,0,0,0.3333,0.0625,0.2778,0,0.0556,0,0,0.1364,0.2083
"locus87",0,0.125,0,0.0455,0.0714,0,0,0.0455,0.0625,0,0,0,0,0.0417,0.0556,0,0.0625,0,0.0833,0,0.15,0,0.0455,0
"locus88",0,0,0.35,0.2273,0,0.2083,0.0556,0.3636,0,0.15,0.0625,0.0556,0.1875,0.25,0,0,0.125,0.1667,0.1667,0.0556,0.1,0.2,0.0455,0.1667
"locus89",0,0.125,0,0,0,0.125,0.0556,0,0.1875,0,0,0,0,0,0.1667,0,0.0625,0,0,0,0,0.1,0,0.1667
"locus90",0,0,0,0,0.4286,0.0833,0.2778,0.0455,0,0,0.0625,0,0,0.0833,0,0.1667,0.0625,0,0.1667,0.0556,0.05,0,0.1818,0.4583
"locus91",0.0833,0,0,0.1364,0,0,0,0,0.0625,0.05,0,0,0,0.0417,0,0,0.0625,0,0,0,0.05,0.05,0.0455,0.0417
"locus92",0.2917,0.1875,0.45,0.3636,0.1429,0.1667,0.2222,0.4545,0.3125,0.2,0.5,0,0.125,0.4167,0.2778,0.3333,0.4375,0.5,0.5,0.1667,0.5,0.35,0.0909,0.2917
"locus93",0.25,0.375,0.1,0.1364,0.3571,0.375,0.3889,0.1364,0.3125,0.3,0.3125,0.3889,0.1875,0.2083,0.0556,0,0.1875,0.1667,0.1667,0.0556,0.1,0.35,0.2727,0.5
"locus94",0,0.1875,0.25,0.0455,0,0.2083,0.0556,0.1364,0.0625,0.45,0.125,0.3889,0.125,0.0417,0,0,0.0625,0.1111,0.0833,0.3889,0,0,0.0455,0.1667
"locus95",0.0833,0.0625,0.05,0,0,0,0,0,0,0.05,0.1875,0,0.0625,0,0,0,0,0,0.0833,0.0556,0.1,0,0,0.0417
"locus96",0.3333,0.4375,0.2,0.3636,0.2143,0.375,0.4444,0.2273,0.4375,0.4,0.125,0.2222,0.1875,0.125,0.3889,0.3333,0.3125,0.3333,0.4167,0.1667,0.4,0.35,0.4545,0.125
"locus97",0.5,0.25,0.4,0.3636,0.0714,0.2083,0.2222,0.2727,0.0625,0.2,0.25,0.0556,0.25,0.5,0.4444,0.5,0.375,0.3889,0.25,0.1111,0.5,0.4,0.3636,0.2917
"locus98",0,0.125,0.05,0,0,0.0417,0.0556,0.0909,0,0,0.0625,0.0556,0.125,0.0417,0,0.1667,0.1875,0.0556,0,0.0556,0.1,0.05,0,0.2083
"locus99",0,0,0,0.1364,0,0,0.0556,0,0,0.05,0.1875,0,0,0,0,0,0,0.1111,0.1667,0,0.05,0.05,0,0
"locus100",0,0,0.05,0.0455,0.3571,0.2083,0.4444,0.0455,0,0,0.125,0,0.0625,0.0417,0,0.1667,0.125,0.0556,0.25,0.0556,0.1,0.15,0.3182,0.5
"locus101",0.3333,0.4375,0.05,0.3636,0.3571,0.3333,0.3333,0.2273,0.3125,0.3,0.375,0.2778,0.125,0.0833,0.2222,0.1667,0.125,0.2222,0.25,0.1111,0.3,0.3,0.2727,0.5
"locus102",0.125,0,0.3,0.1364,0.0714,0,0,0.1818,0,0.1,0,0,0.125,0.0417,0.1111,0.3333,0.0625,0.0556,0,0.0556,0.05,0.1,0.1364,0.125
"locus103",0.4583,0.0625,0.45,0.4091,0,0.125,0.2222,0.3636,0.5,0.15,0.25,0.0556,0.3125,0.2917,0.3333,0,0.375,0.4444,0.25,0.3333,0.35,0.05,0.3182,0.25
"locus104",0.25,0.375,0.2,0.0455,0.5,0.3333,0.3333,0.0455,0.4375,0.45,0.1875,0.3889,0.125,0.0833,0.1667,0.1667,0.0625,0.1667,0.1667,0.2778,0.15,0.25,0,0.25
"locus105",0.1667,0.125,0,0.2273,0.0714,0.0833,0.0556,0.0455,0.125,0.1,0,0.1111,0.0625,0,0.2222,0,0.0625,0.0556,0,0.1111,0.2,0.15,0.3636,0.0417
"locus106",0.3333,0.25,0.2,0.1364,0,0.1667,0.1111,0.2727,0.125,0.05,0.0625,0,0.25,0.3333,0.1667,0.3333,0.25,0.1667,0.25,0.1111,0.3,0.2,0.1818,0.0417
"locus107",0.2917,0.0625,0,0.0909,0,0,0,0.0909,0.375,0.05,0.0625,0.0556,0.1875,0.0417,0.4444,0,0.1875,0,0.1667,0.1111,0.05,0.15,0,0
"locus108",0,0,0.05,0,0,0,0,0.0909,0.0625,0.2,0,0,0.0625,0.1667,0,0,0.0625,0,0.1667,0,0.05,0,0,0
"locus109",0,0,0,0.0909,0.1429,0.0833,0,0.0909,0.0625,0.45,0,0.4444,0.1875,0.0417,0,0,0,0,0.0833,0,0,0,0,0
"locus110",0,0.25,0.1,0.4091,0,0,0,0,0,0,0,0.0556,0,0.125,0,0,0.0625,0.0556,0.25,0,0.05,0.05,0.0455,0.0833
"locus111",0.0833,0,0.1,0,0.0714,0.0833,0.1111,0.0909,0,0,0.0625,0.0556,0,0.125,0.0556,0.1667,0,0.3333,0.1667,0,0,0,0.0455,0
"locus112",0.3333,0,0,0.0909,0,0,0,0,0,0,0,0,0,0,0.3889,0,0.0625,0,0,0.0556,0.25,0.1,0.0909,0
"locus113",0.0833,0.0625,0.05,0.0455,0.0714,0.1667,0.1111,0,0,0,0.0625,0,0,0.0833,0.0556,0.3333,0.1875,0,0.1667,0,0.05,0,0.1364,0.0417
"locus114",0.25,0,0.05,0.1364,0,0,0.0556,0.0909,0.0625,0.05,0.0625,0,0.0625,0.0833,0,0.1667,0.125,0.2222,0.0833,0,0.15,0.05,0.0455,0
"locus115",0.0833,0.3125,0.2,0.1818,0.4286,0.2917,0.2778,0.3636,0.125,0.45,0.0625,0.3889,0.125,0.25,0.2778,0.3333,0.1875,0.2778,0.4167,0,0.05,0.35,0.0909,0.125
"locus116",0,0,0.05,0.2727,0,0.0833,0.0556,0,0,0.05,0,0,0.125,0.0833,0,0.1667,0,0.2222,0,0,0,0.1,0,0
"locus117",0.0833,0.0625,0,0.0455,0,0,0.1667,0,0,0,0.1875,0,0,0.2917,0,0,0,0,0.4167,0,0,0.05,0.2273,0.0417
"locus118",0,0,0.05,0.0909,0,0.0417,0,0,0.125,0,0,0,0.125,0,0.0556,0,0,0,0.0833,0,0.25,0,0.0455,0
"locus119",0.1667,0,0.15,0.0909,0.1429,0.1667,0,0.1818,0,0.05,0,0.0556,0.25,0.2083,0.1667,0,0.125,0,0.25,0.1111,0.1,0.15,0.0455,0.0417
"locus120",0.0417,0,0.1,0.3636,0,0,0,0,0,0.1,0,0.0556,0.0625,0.125,0.2778,0,0,0.1111,0.0833,0,0.05,0,0.1364,0
"locus121",0.125,0.5,0.5,0.0455,0.2143,0.5,0.4444,0.3636,0.375,0.4,0.4375,0.3333,0.25,0.4583,0.1667,0.1667,0.4375,0.2222,0.25,0.1111,0.2,0.25,0.2273,0.4583
"locus122",0,0,0.15,0.0455,0,0.1667,0,0.3182,0.375,0,0.125,0.0556,0,0.0417,0,0,0.125,0,0,0,0.05,0.05,0,0
"locus123",0,0,0.05,0,0,0,0,0.0909,0,0,0,0,0.0625,0.1667,0,0,0.0625,0,0.25,0,0,0,0,0
"locus124",0.125,0.0625,0.05,0.1818,0.2143,0.4167,0.0556,0,0.1875,0.3,0.0625,0.3889,0.125,0.1667,0,0,0.0625,0.1667,0,0.2222,0.15,0.15,0.1818,0.125
"locus125",0.4583,0.3125,0.45,0.1364,0.5,0.4167,0.1111,0.4545,0.125,0.3,0.3125,0.3889,0.375,0.4167,0.2778,0.3333,0.4375,0.3333,0.25,0.3333,0.15,0.05,0.4545,0.3333
"locus126",0,0,0.05,0,0,0,0,0.2273,0,0,0,0,0,0,0,0,0,0,0.1667,0,0.05,0.05,0,0.0417
"locus127",0.375,0.3125,0.45,0.3636,0.2857,0.4583,0.2778,0.4091,0.25,0.25,0.4375,0.2222,0.5,0.4167,0.1111,0.1667,0.5,0.4444,0.25,0.2222,0.45,0.5,0.5,0.4167
"locus128",0.1667,0,0,0.1818,0,0.0417,0,0.0455,0,0.05,0,0.1111,0,0,0.0556,0,0,0,0,0.0556,0.05,0.1,0,0
"locus129",0.0833,0,0.05,0,0,0,0.0556,0,0,0,0.0625,0,0,0.0417,0.1111,0.1667,0,0,0.0833,0.0556,0.05,0.05,0,0
"locus130",0,0.25,0,0,0,0.25,0,0.0455,0,0.3,0,0.3889,0.0625,0.0417,0,0,0,0,0,0.2778,0,0,0,0
"locus131",0.4583,0.3125,0.25,0.4091,0.1429,0.2917,0.1111,0.4091,0.4375,0.15,0.4375,0.0556,0.3125,0.25,0.2778,0.3333,0.3125,0.2778,0.4167,0.1667,0.25,0.15,0.2727,0.2083
"locus132",0,0,0,0.0909,0,0.0833,0.0556,0.1364,0,0.2,0,0.1111,0.0625,0.0417,0,0,0.125,0,0,0,0.05,0.05,0,0.0833
"locus133",0,0.0625,0.05,0,0.0714,0.125,0.0556,0.1364,0.125,0.15,0.1875,0.1667,0,0.1667,0,0.1667,0.0625,0.1111,0.1667,0,0.1,0.1,0.0455,0.125
"locus134",0.0833,0.125,0.4,0.2727,0,0.125,0,0.1364,0,0.4,0.25,0.1111,0,0.25,0.1111,0,0.375,0.1111,0,0.3333,0.15,0.05,0.0909,0
"locus135",0.0833,0.125,0,0.1818,0.2857,0.375,0.1111,0.2273,0.125,0.3,0,0.2778,0,0.25,0.0556,0.1667,0.125,0,0.1667,0.1111,0.25,0.15,0.0909,0.25
"locus136",0.5,0.5,0.45,0.4091,0.2143,0.375,0.4444,0.4545,0.375,0.4,0.4375,0.2222,0.4375,0.4167,0.1667,0.3333,0.5,0.4444,0.3333,0.5,0.45,0.5,0.4545,0.2917
"locus137",0.125,0,0,0,0,0,0,0,0.1875,0.05,0.0625,0,0,0,0.1667,0,0,0.0556,0.1667,0,0.05,0,0,0
"locus138",0.25,0.125,0.3,0.2727,0,0.0417,0.1667,0.2727,0.1875,0.2,0.0625,0,0.25,0.375,0.2778,0.5,0.4375,0.1667,0.1667,0.1111,0.1,0.1,0.1364,0.125
"locus139",0,0.0625,0.05,0,0,0.0833,0.2778,0,0,0.05,0.1875,0,0,0.0833,0,0,0,0,0.0833,0,0.25,0.2,0.0909,0.0417
"locus140",0.0417,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2222,0.1667,0.0625,0,0,0,0.05,0,0.1818,0
"locus141",0.1667,0.3125,0.15,0.4091,0.4286,0.5,0.1111,0.3636,0.1875,0.3,0.125,0.3889,0.1875,0.2917,0.1667,0.5,0.25,0.1111,0.0833,0.4444,0.35,0.35,0.2727,0.1667
"locus142",0,0.0625,0.15,0,0.2143,0.3333,0.5,0.0455,0,0.05,0.3125,0,0.125,0.0417,0,0,0.3125,0.1111,0.25,0.3889,0.15,0.05,0.5,0.4583
"locus143",0,0.375,0,0.0455,0.2143,0.375,0.1111,0.0909,0.4375,0.45,0,0.5,0.125,0.0417,0.2222,0.1667,0.0625,0.2778,0.0833,0,0.05,0.15,0.0909,0
"locus144",0.0833,0.125,0,0.0909,0.0714,0.0833,0,0,0.0625,0.25,0.0625,0.0556,0.125,0.0833,0,0,0.0625,0.1111,0,0,0.1,0,0,0.0833
"locus145",0.1667,0.4375,0.05,0.1818,0.1429,0.4167,0,0.1364,0.375,0.2,0.0625,0.3889,0.125,0.0417,0.3889,0,0.125,0.4444,0,0.3889,0.4,0,0.0455,0.0417
"locus146",0.0417,0,0,0.0455,0,0.125,0,0,0.0625,0,0.0625,0,0.0625,0,0,0,0.0625,0.0556,0,0.1667,0.05,0,0.1364,0
"locus147",0,0,0.25,0,0,0,0.0556,0.2727,0,0,0,0,0.0625,0.1667,0,0,0.1875,0,0,0,0,0.1,0.1364,0.0833
"locus148",0.0417,0.125,0,0.0909,0.0714,0.0417,0.1111,0.0909,0,0.05,0.0625,0,0.0625,0.0417,0.1111,0,0.0625,0,0,0,0.1,0.25,0,0.0417
"locus149",0.0417,0.25,0.05,0.0455,0.2857,0.1667,0,0,0,0.5,0.125,0.2222,0,0,0,0,0.125,0.1111,0,0,0,0.3,0,0.0833
"locus150",0.4167,0.25,0.35,0.2727,0,0,0.1111,0.4091,0.0625,0,0.5,0.1111,0.375,0.25,0.3889,0.3333,0.1875,0.4444,0,0.2222,0.45,0.05,0.2273,0
"locus151",0.25,0.5,0.25,0.2273,0.3571,0.375,0.4444,0.4545,0.5,0.5,0.375,0.3889,0.5,0.25,0.3889,0.3333,0.4375,0.3333,0.4167,0.0556,0.3,0.35,0.3636,0.4167
"locus152",0,0.1875,0,0.0455,0.1429,0.2083,0,0,0,0.3,0,0.0556,0.125,0.0417,0,0,0,0,0,0,0,0,0.2273,0.25
