"AS","BA","BB","BC","CA","CR","FC","FV","GB","KC","MC","ML","OF","PC","PR","PT","SB","SC","SH","SL","TB","WC","WF","WH"
1.48484848484849,1.53030303030303,1.325,1.52287581699346,1.54545454545455,1.49450549450549,1.53333333333333,1.24675324675325,1.49450549450549,1.5,1.46666666666667,1.46666666666667,1.55555555555556,1.28985507246377,1.42483660130719,1.5,1.26373626373626,1.46666666666667,1.5,1.53333333333333,1.525,1.36263736263736,1.26842105263158,1.50326797385621
1.15942028985507,1,1.1,1,1,1.22826086956522,1,1.09090909090909,1.125,1,1,1,1,1.08333333333334,1.11111111111111,1,1.43956043956044,1.11111111111111,1,1,1,1.1,1.09090909090909,1
1.09090909090909,1.53846153846154,1.29411764705882,1.17316017316017,1,1.50326797385621,1.14285714285714,1.45454545454546,1.26373626373626,1.50526315789474,1.45833333333333,1.29411764705882,1.43956043956044,1.47894736842105,1,1,1.45833333333333,1.45833333333333,1.48484848484848,1,1.26842105263158,1.29411764705882,1.18947368421053,1.31168831168831
1.08333333333334,1,1.39473684210526,1,1,1,1.125,1.24675324675325,1,1.1,1,1,1,1,1,1.33333333333333,1.125,1.11111111111111,1,1,1,1,1,1.08333333333334
1.08333333333334,1.23333333333333,1.1,1.31168831168831,1,1.08333333333334,1,1.09090909090909,1,1,1,1,1,1.22826086956522,1.125,1.53333333333333,1,1.20915032679739,1,1,1,1.1,1.09090909090909,1.08333333333334
1.52747252747253,1.325,1.18947368421053,1.45833333333333,1.26373626373626,1.4421052631579,1.20915032679739,1.39473684210526,1.325,1.1,1.26373626373626,1,1.26373626373626,1.43115942028986,1.23333333333333,1.53333333333333,1.14285714285714,1.20915032679739,1.3030303030303,1.125,1.49450549450549,1.4421052631579,1.4421052631579,1.26842105263158
1.22826086956522,1.53030303030303,1,1,1,1.54545454545455,1.53333333333333,1.24675324675325,1.25,1.325,1.4,1.23333333333333,1.26373626373626,1,1.20915032679739,1,1.14285714285714,1.4,1,1.11111111111111,1.18947368421053,1.11111111111111,1.1,1.39473684210526
1.08333333333334,1.14285714285714,1.1,1,1,1.34420289855073,1.11111111111111,1,1,1.26842105263158,1,1.47058823529412,1,1.15942028985507,1.11111111111111,1,1.26373626373626,1,1,1,1,1.1,1.09090909090909,1.22826086956522
1.08333333333334,1.325,1,1,1.26373626373626,1.34420289855073,1,1,1.325,1.42483660130719,1,1.48484848484848,1.125,1,1,1.33333333333333,1,1.11111111111111,1.3030303030303,1,1.1,1.1,1,1.08333333333334
1,1.23333333333333,1.26842105263158,1,1,1.08333333333334,1.11111111111111,1.26373626373626,1,1.1,1.125,1.11111111111111,1.45833333333333,1.22826086956522,1,1,1.5,1.29411764705882,1,1.11111111111111,1.1,1,1.09090909090909,1.22826086956522
1.08333333333334,1,1.26842105263158,1,1,1,1,1.09090909090909,1,1.1,1.125,1.20915032679739,1.325,1.17316017316017,1,1.33333333333333,1,1,1.16666666666667,1,1,1,1.09090909090909,1
1.14285714285714,1.125,1.42483660130719,1.16666666666667,1,1.15942028985507,1.29411764705882,1.47894736842105,1.125,1.11111111111111,1.125,1,1.53333333333333,1.46666666666667,1.16666666666667,1,1.53333333333333,1.53846153846154,1.25,1.35555555555556,1.33333333333333,1.43956043956044,1,1.08333333333334
1,1,1,1.17316017316017,1,1,1,1,1,1,1,1,1.125,1,1,1,1,1,1,1.55555555555556,1,1,1,1
1,1.125,1,1.09090909090909,1.26373626373626,1,1,1.1,1,1.1,1,1.11111111111111,1,1.09090909090909,1,1,1,1,1.16666666666667,1,1,1.1,1.09090909090909,1
1.35555555555556,1.45833333333333,1.325,1.53333333333333,1.16666666666667,1.28985507246377,1.52287581699346,1.11111111111111,1.43956043956044,1.33684210526316,1.53030303030303,1,1.43956043956044,1.125,1,1.5,1.35555555555556,1.2,1.3030303030303,1.66666666666667,1.66666666666667,1.125,1.53846153846154,1.46376811594203
1,1,1,1,1,1,1,1,1,1,1,1.29411764705882,1,1.08333333333334,1.29411764705882,1,1,1.29411764705882,1,1,1,1,1,1
1,1,1,1,1.14285714285714,1.08333333333334,1.20915032679739,1.24675324675325,1,1,1,1,1,1,1,1,1.125,1.42483660130719,1,1.11111111111111,1,1,1.24675324675325,1.31168831168831
1,1.23333333333333,1,1.09090909090909,1.14285714285714,1,1,1.09090909090909,1.125,1,1,1,1,1.08333333333334,1.11111111111111,1,1.125,1,1.16666666666667,1,1.26842105263158,1,1,1
1,1,1.53571428571429,1.4,1,1.42483660130719,1.2,1.47894736842105,1,1.26842105263158,1,1.11111111111111,1.325,1.36263736263736,1,1,1,1.33333333333333,1,1.11111111111111,1.26373626373626,1.25,1.125,1.48484848484848
1,1.23333333333333,1,1,1,1.22826086956522,1.11111111111111,1,1.325,1,1,1,1,1,1.23333333333333,1,1.125,1,1,1,1,1.18947368421053,1,1.28985507246377
1,1,1,1,1.53571428571429,1.20915032679739,1.53030303030303,1.09090909090909,1,1,1.2,1,1,1.15942028985507,1,1.33333333333333,1.125,1,1,1.11111111111111,1.1,1,1.31168831168831,1.53030303030303
1.15942028985507,1,1,1.24675324675325,1,1,1,1,1.125,1,1,1,1,1.08333333333334,1,1,1.125,1,1,1,1.1,1.1,1.1,1.08333333333334
1.45833333333333,1.3030303030303,1.525,1.53846153846154,1.42857142857143,1.28985507246377,1.2,1.525,1.42857142857143,1.29411764705882,1.53571428571429,1,1.16666666666667,1.50326797385621,1.2,1.5,1.48484848484848,1.53846153846154,2,1.23333333333333,1.5,1.43956043956044,1,1.325
1.41558441558442,1.55555555555556,1.11111111111111,1.40909090909091,1.53030303030303,1.36263736263736,1.52747252747253,1.26842105263158,1.42857142857143,1.36263736263736,1,2,1.42857142857143,1.34420289855073,1.16666666666667,1,1.35555555555556,1.40909090909091,1.3030303030303,1.11111111111111,1.18947368421053,1.48484848484848,1.40909090909091,1.50526315789474
1,1.325,1.39473684210526,1.09090909090909,1,1.34420289855073,1.11111111111111,1.24675324675325,1,1.525,1.23333333333333,1.52747252747253,1.23333333333333,1.08333333333334,1,1,1.125,1.20915032679739,1.16666666666667,1.46666666666667,1,1,1.09090909090909,1.28985507246377
1.15942028985507,1.125,1.1,1,1,1,1,1,1,1.1,1.325,1,1,1,1,1,1,1,1.16666666666667,1.125,1.11111111111111,1,1,1.08333333333334
1.39473684210526,1.48484848484848,1.36601307189543,1.52287581699346,1.5,1.47894736842105,1.53333333333333,1.39473684210526,1.525,1.50326797385621,1.3030303030303,1.4,1.40909090909091,1.18947368421053,1.52747252747253,NA,1.48484848484848,1.49450549450549,1.53333333333333,1.23333333333333,1.50526315789474,1.47894736842105,1.52631578947368,1.29411764705882
1.52173913043478,1.4,1.50526315789474,1.50326797385621,1,1.34420289855073,1.36601307189543,1.41558441558442,1.125,1.33684210526316,1.43956043956044,1.11111111111111,1.4,1.53333333333333,1.49450549450549,1.6,1.5,1.50326797385621,1.40909090909091,1.20915032679739,1.52941176470588,1.52287581699346,1.47894736842105,1.33684210526316
1,1.23333333333333,1,1,1,1.08333333333334,1.16666666666667,1.17316017316017,1,1,1.125,1.11111111111111,1.23333333333333,1.08333333333334,1,1.33333333333333,1.325,1.11111111111111,1,1.11111111111111,1.18947368421053,1.1,1,1.29411764705882
1,1,1,1.24675324675325,1,1,1.11111111111111,1,1,1,1.26373626373626,1,1,1,1,1,1,1.20915032679739,1.3030303030303,1,1.1,1.1,1,1
1,1,1.1,1.09090909090909,1.53333333333333,1.34420289855073,1.52287581699346,1.09090909090909,1,1,1.3030303030303,1,1.125,1.08333333333334,1,1,1.23333333333333,1.11111111111111,1.46666666666667,1.11111111111111,1.18947368421053,1.26842105263158,1.42483660130719,1.52105263157895
1.4421052631579,1.57142857142857,1.14285714285714,1.53030303030303,1.53030303030303,1.46666666666667,1.36263736263736,1.40909090909091,1.48484848484848,1.49450549450549,1.53571428571429,1.3030303030303,1.2,1.20915032679739,1.16666666666667,1,1.25,1.46666666666667,1.25,1.20915032679739,1.43956043956044,1.40909090909091,1.36263736263736,1.52380952380952
1.22826086956522,1,1.5,1.18947368421053,1.14285714285714,1,1,1.26373626373626,1,1.18947368421053,1,1,1.23333333333333,1,1.20915032679739,1.66666666666667,1,1.11111111111111,1,1.16666666666667,1,1.18947368421053,1.1,1.09090909090909
1.50649350649351,1.14285714285714,1.5,1.52941176470588,1,1.17316017316017,1.23333333333333,1.50526315789474,1.53571428571429,1.20915032679739,1.36263736263736,1.11111111111111,1.45833333333333,1.36601307189543,1.45833333333333,1,1.52747252747253,1.53333333333333,1.40909090909091,1.36263736263736,1.525,1.1,1.53333333333333,1.36796536796537
1.33684210526316,1.35555555555556,1.53333333333333,1.11111111111111,1,1.41558441558442,1.45833333333333,1.1,1.53333333333333,1.525,1.3030303030303,1.525,1.26373626373626,1.18947368421053,1.26373626373626,2,1.2,1.36263736263736,1.25,1.4,1.26842105263158,1.45833333333333,1,1.14285714285714
1.29411764705882,1.14285714285714,1,1.33684210526316,1.14285714285714,1.09090909090909,1.11111111111111,1.09090909090909,1.23333333333333,1.11111111111111,1,1.20915032679739,1.125,1,1.40909090909091,1,1.125,1.11111111111111,1,1.20915032679739,1.36601307189543,1.26842105263158,1.50526315789474,1.08333333333334
1.46376811594203,1.4,1.33684210526316,1.24675324675325,1,1.28985507246377,1.20915032679739,1.39473684210526,1.26373626373626,1,1.14285714285714,1,1.4,1.46376811594203,1.29411764705882,1.53333333333333,1.4,1.29411764705882,1.40909090909091,1.20915032679739,1.42483660130719,1.33684210526316,1.33684210526316,1.08333333333334
1.47058823529412,1,1,1.20915032679739,1,1,1,1.17316017316017,1.49450549450549,1.5,1.125,2,1.325,1.08333333333334,1.53333333333333,1,1.325,1,1.3030303030303,1.23333333333333,1.125,1.26842105263158,1,1
1,1,1.1,1,1,1,1,1.17316017316017,1.125,1.33684210526316,1,1,1.125,1.28985507246377,1,1,1.125,1,1.3030303030303,1,1,1,1,1
1,1,1,1.17316017316017,1.33333333333333,1.2,1,1.17316017316017,1.125,1.43956043956044,1,1.49450549450549,1.325,1.08333333333334,1,1,1,1,1.16666666666667,1,1,1,1,1
1,1.36263736263736,1.18947368421053,1.47058823529412,1,1,1,1,1,1,1,1.11111111111111,1,1.09090909090909,1,1,1.125,1.11111111111111,1.40909090909091,1,1.1,1.1,1.09090909090909,1.15942028985507
1.15942028985507,1,1,1,1.14285714285714,1.15942028985507,1.20915032679739,1.17316017316017,1,1,1.125,1.11111111111111,1,1.22826086956522,1.11111111111111,1.33333333333333,1,1.47058823529412,1.3030303030303,1,1,1,1.09090909090909,1
1.46376811594203,1,1,1.17316017316017,1,1,1,1,1,1,1,1,1,1,1.5,1,1.125,1,1,1,1.39473684210526,1.18947368421053,1.17316017316017,1
1,1.125,1.1,1.09090909090909,1.14285714285714,1.31168831168831,1.20915032679739,1,1,1,1.125,1,1,1.15942028985507,1.11111111111111,1.53333333333333,1.325,1,1.3030303030303,1,1.1,1,1.24675324675325,1.08333333333334
1.4421052631579,1,1.1,1.29411764705882,1,1,1.11111111111111,1.18947368421053,1.125,1.1,1.125,1,1.125,1.15942028985507,1,1.33333333333333,1.14285714285714,1.36601307189543,1.16666666666667,1,1.325,1.1,1.09090909090909,1
1.17316017316017,1.48484848484848,1.33684210526316,1.33684210526316,1.5,1.39473684210526,1.40909090909091,1.50526315789474,1.16666666666667,1.53333333333333,1.2,1.53030303030303,1.14285714285714,1.36796536796537,1.42483660130719,1.53333333333333,1.325,1.42857142857143,1.53333333333333,1,1.14285714285714,1.47894736842105,1.23333333333333,1.22826086956522
1,1,1.1,1.41558441558442,1,1.15942028985507,1,1,1,1.1,1,1,1.23333333333333,1.15942028985507,1,1.33333333333333,1,1.325,1,1,1,1.18947368421053,1,1
1.15942028985507,1.125,1,1.09090909090909,1,1,1.29411764705882,1,1,1,1.325,1,1,1.41558441558442,1,1,1,1,1.53030303030303,1,1,1,1.325,1.1
1,1,1.1,1.17316017316017,1,1.08333333333334,1,1,1.23333333333333,1,1,1,1.23333333333333,1,1.11111111111111,1,1,1,1.16666666666667,1,1.39473684210526,1,1,1
1.26842105263158,1,1.325,1.20915032679739,1.26373626373626,1.28985507246377,1,1.31168831168831,1,1.11111111111111,1,1.11111111111111,1.36263736263736,1.14285714285714,1.29411764705882,1,1.16666666666667,1,1.5,1.20915032679739,1.18947368421053,1.125,1.1,1.08333333333334
