"","AS","BA","BB","BC","CA","CR","DA","FC","FV","GB","KC","MC","ML","OF","PC","PM","PR","PT","SB","SC","SH","SL","TB","WC","WF","WH"
"locus27",0.9167,1,1,1,1,0.9583,0.25,1,0.8636,0.875,0.9545,0.9375,1,0.9375,0.9583,0.35,0.8125,0.8333,1,0.8333,1,1,0.95,1,0.9545,1
"locus28",0.4091,0.75,0.6,0.5,0.8333,0.6364,0.8,0.5,0.6667,0.5,0.8,0.5714,0.9,0.6429,0.5909,0.6667,0.7857,0.6667,0.5714,0.3,0.9,0.625,0.5714,0.6429,0.6875,0.4545
"locus29",0.7917,1,1,1,1,1,1,1,1,1,1,0.9375,1,1,0.9167,1,0.7857,0.8333,1,0.7778,1,0.9545,0.8889,1,0.8636,1
"locus30",0.8571,1,1,1,1,1,1,0.9444,1,0.9375,1,1,1,1,0.9583,1,0.9167,1,1,0.6667,1,0.25,1,1,0.9091,1
"locus31",0.9167,0.75,1,1,1,1,1,1,1,1,1,1,0.95,1,1,1,0.9444,1,0.9375,1,1,0.7778,0.95,1,1,0.9583
"locus32",1,1,1,0.8182,1,1,1,1,1,1,1,1,1,1,0.9583,1,1,1,1,1,1,0.75,0.95,1,1,1
"locus33",0.7083,1,1,1,1,1,1,0.8889,1,1,0.9091,0.9375,1,0.7143,0.8333,1,0.9444,0.8333,0.9375,1,1,0.9545,1,0.8,0.6364,0.9583
"locus34",0.9583,0.875,0.95,1,1,0.8333,1,0.9444,1,0.9375,1,1,1,1,1,1,0.8333,1,1,0.9444,1,1,1,1,1,1
"locus35",0.5417,0.6667,0.625,0.6818,0.7143,0.5909,0.1667,0.5625,0.6,0.75,0.8182,0.5833,0.6429,0.75,0.6667,0.8182,0.4375,0.75,0.7143,0.6875,0.5,0.2222,0.65,0.6,0.5455,0.8182
"locus36",1,0.875,1,0.8636,0.9286,1,1,0.6429,1,1,1,0.9286,1,1,0.9583,1,1,1,0.9375,1,0.7857,1,1,1,0.9545,0.5625
"locus37",0.3636,0.5833,0.35,0.3125,0.3889,0.5,NA,0.2857,0.4091,0.1667,0.5,0.5,0.5,0.3333,0.6,NA,0.5714,0.3333,0.4375,0.3125,0.375,0.25,0.3,0.6,0.1818,0.3333
"locus38",0.9583,1,0.95,1,1,1,1,1,0.9545,0.75,1,0.9375,1,0.9375,1,0.9545,0.8889,1,1,0.9375,0.7857,0.9545,0.95,1,1,0.9545
"locus39",0.9583,1,1,1,1,0.9583,1,1,1,1,0.6111,1,0.7857,1,1,0.9545,1,1,1,1,1,1,1,0.9,1,1
"locus40",0.9583,1,1,1,1,0.9583,0.6,1,0.9545,0.875,1,1,1,1,1,0.6875,0.9444,1,1,0.9444,1,1,1,0.95,1,1
"locus41",0.875,1,0.85,1,1,1,1,0.9444,0.6818,1,0.9545,1,1,0.875,0.8636,1,0.9444,1,0.7857,1,1,0.9545,0.8889,0.8333,0.8636,0.7917
"locus42",1,1,0.7,1,1,1,1,1,0.8636,1,0.9545,1,1,0.8125,0.75,1,1,1,0.8125,0.9444,1,1,1,0.6667,1,1
"locus43",0,0.5,0.1,0,0.375,0.5,0,0,0.0909,0,0.7,0.2,0.6667,0.5,0.1818,0.0455,0.0556,0.3333,0,0.1111,0,0.0455,0.05,0.2222,0.0455,0.0833
"locus44",0.125,0,0.0625,0.2,0,0.0417,0.5,0,0.4286,0,0.0455,0.1875,0,0,0.0417,0.5,0.4167,0.3333,0,0.3571,0.2857,0,0.35,0.05,0.1,0
"locus45",0.0417,0.0625,0,0,0.0556,0.2,0,0,0,0,0.5,0.125,0,0,0,0.05,0,0,0,0,0,0,0.05,0,0,0.0833
"locus46",1,1,1,1,1,1,1,0.7778,1,1,0.9545,0.7143,1,0.9375,0.875,1,1,1,0.875,1,0.9286,1,1,1,1,0.9583
"locus47",0.8333,0.9375,1,1,1,1,0.6,0.9444,0.9091,0.6875,1,1,1,0.9375,1,0.9545,0.8889,0.8333,0.9375,0.9444,0.9286,0.5909,0.9,1,1,1
"locus48",0.125,0.625,0.55,0.3889,0.25,0.7,0,0.6875,0.45,0.1875,0.6,0,0.5625,0.4375,0.5833,0.0455,0.0556,0.1667,0.7143,0.2778,0.7,0.0455,0.1667,0.6667,0.0909,0.9545
"locus49",1,1,1,1,1,1,1,1,0.9545,1,1,1,1,1,1,0.9545,0.9444,1,0.875,0.8333,1,0.9091,0.9,0.95,0.9545,1
"locus50",1,0.6667,0.7857,1,0.5833,0.8333,0.6,0.8125,0.7778,1,0.8333,0.8333,1,0.8,0.8571,0.75,0.7222,1,0.75,0.8333,1,0.9091,0.95,0.8889,0.9,0.95
"locus51",1,1,1,1,1,1,1,1,1,1,0.9545,0.875,0.95,1,0.625,1,1,0.5,0.875,1,0,1,1,0.8889,0.9545,1
"locus52",1,0.8571,0.95,1,1,1,1,1,0.9545,1,1,1,0.6111,1,0.9583,1,1,0.75,1,1,0.9286,1,1,1,0.9091,0.9583
"locus53",0.875,1,1,0.8,1,0.9583,0.9,1,0.9545,1,1,0.9375,1,1,1,1,1,0.75,1,0.9444,1,1,0.95,0.95,1,1
"locus54",0.8333,1,0.8333,0.8182,0.7778,0.9583,1,0.8889,0.9545,0.75,0.9545,1,0.95,0.875,0.9545,1,1,1,0.8571,0.8333,0.4286,1,1,1,1,0.9583
"locus55",0.9583,0.9375,0.85,0.7727,0.9444,0.9167,0.9,0.8889,0.9091,1,0.7727,1,1,0.875,0.5909,0.9091,0.9444,0.8333,0.8571,0.9444,0.9286,1,0.9444,0.75,1,1
"locus56",0.7273,1,0.95,1,1,1,0.7,1,0.8636,1,0.9091,1,0.95,0.9286,0.8333,0.2727,0.7143,1,1,0.9167,1,1,0.9444,1,0.8889,1
"locus57",1,0.75,0.9,1,0.7857,0.7,1,0.875,0.9545,1,0.7222,1,0.6,0.9375,0.9545,1,1,1,1,1,0.7857,1,1,0.9,0.9545,0.8333
"locus58",1,1,1,0.9545,1,1,1,1,0.9545,0.875,1,1,1,0.75,1,1,0.9444,0.8333,0.9375,1,1,1,0.95,1,0.9545,1
"locus59",1,1,0.8125,0.9545,1,0.9583,1,0.875,0.875,1,1,1,1,1,0.7727,0.9545,0.875,0.8333,0.8333,1,1,1,0.9,0.6111,1,0.875
"locus60",1,1,1,1,0.7778,0.9167,0.9,1,0.9545,0.9375,1,1,1,1,1,0.8182,1,1,0.9375,1,1,0.9545,1,1,0.8182,1
"locus61",0.35,1,0.9286,0.6,0.9167,0.9167,1,0.75,0.9375,0.8333,1,0.875,0.9,0.9,0.8889,1,0.5,0,1,0.8125,0.9,0.55,0.4444,0.8889,0.5625,0.8333
"locus62",0.45,0.5,0,0.3,1,0.6875,0,0.6429,0,0,0.75,0.5,0.8333,0,0.0417,0.0909,0,0.1667,0.0625,0.1875,0.0833,0.8571,0.4,0,0.6429,0.75
"locus63",0.9583,1,1,1,0.6667,0.6818,1,0.8889,1,1,1,1,1,1,1,1,1,1,1,1,0.9286,1,1,1,0.8182,0.875
"locus64",1,1,1,1,0.6875,1,1,0.5625,1,1,1,1,1,1,1,1,1,1,1,1,0.7857,0.9545,1,1,0.85,0.4
"locus65",0.6875,0.4167,0.8125,0.5625,0.5,0.6429,1,0.6667,0.8636,0.7,0.75,0.5714,0.25,0.5,0.8333,1,0.7857,0.75,0.8571,0.75,0.75,0.2857,0.5714,0.7857,1,0.6111
"locus66",0.0455,0,0.05,0,0,0.125,0,0,0.0455,0.0625,0,0,0,0,0.0417,0,0.0556,0,0.2857,0.0556,0,0,0,0.05,0.0455,0
"locus67",0.9545,0.5,0.8333,0.9091,1,0.6111,1,0.9167,0.6818,0.8571,0.6818,0.6875,0.85,0.75,0.65,0.9545,1,1,0.5714,0.6875,0.7143,1,0.85,0.8889,0.9,0.8182
"locus68",0.9583,1,0.75,1,1,1,1,0.9375,0.8636,1,1,1,1,1,1,0.9545,1,0.8333,0.9375,0.9444,1,1,1,1,1,0.9583
"locus69",0.9583,0.875,0.95,0.8182,1,0.9583,1,1,0.9545,1,1,1,1,1,0.875,1,0.9375,0.6667,1,0.8889,1,1,1,0.95,0.9545,0.9583
"locus70",0.5556,0.8125,0.9,0.6875,0.8333,0.7,1,0.8889,0.75,0.8125,0.9545,0.8571,1,0.8571,0.7083,0.7727,0.875,0.6667,0.9286,0.8889,0.8333,0.95,0.6667,0.7,0.7273,0.85
"locus71",0.875,0.5833,1,1,0.25,0.5,0.1,0.5,0.85,0.75,0.1667,0.7857,0.1111,0.8333,1,0.0455,0.8889,1,0.9375,0.7857,1,0.9545,0.9,0.9444,0.95,0.75
"locus72",0.9583,0.9286,0.95,1,0.9444,0.7917,1,0.9444,1,1,0.8636,1,0.65,1,0.9167,1,0.9444,1,0.8571,1,1,1,1,0.95,0.9545,0.875
"locus73",0.9583,0.8125,1,1,0.8571,0.7917,1,1,1,0.8125,0.75,1,0.7143,0.9375,1,0.9545,1,0.8333,1,0.9444,0.8571,1,0.95,0.95,1,0.9583
"locus74",0,0.125,0.15,0,0,0.0417,0,0.0556,0.1429,0,0.0455,0.0625,0.05,0.3125,0.125,0,0,0,0.375,0.1667,0,0.0455,0.05,0,0.0455,0.125
"locus75",0.9583,1,0.85,1,1,1,1,1,0.9545,1,0.9545,0.9375,0.9,0.8125,0.875,1,1,0.8333,1,1,0.9286,1,1,1,0.9545,1
"locus76",0.9286,0.9375,0.75,0.9167,1,0.9167,NA,0.8333,0.65,0.9375,0.95,0.9375,1,0.4,0.7,0.5,1,1,0.6667,0.5,0.875,0.8,0.8333,0.7143,1,0.9583
"locus77",1,1,1,0.9091,1,1,1,1,1,1,1,1,1,0.9375,1,1,1,1,1,1,1,0.5,1,1,1,1
"locus78",1,0.9375,1,0.9545,0.8889,1,1,1,0.95,1,0.9545,1,0.95,1,0.9545,1,1,1,1,1,0.9286,1,1,0.95,0.9545,1
"locus79",1,0.3125,0.8125,0.4286,0.0714,0.1667,1,0.4444,0.9444,0.7143,0.1818,0.5,0,0.7143,0.9375,1,1,0.75,0.75,0.9,0.1667,0.5,0,0.9375,0.5,0.3333
"locus80",1,1,1,1,0.8889,0.9583,1,0.8889,0.8636,1,1,1,1,1,1,1,1,1,0.9375,0.75,1,0.9545,1,1,0.8636,0.8182
"locus81",1,0.875,1,0.9545,0.9444,1,1,1,0.9545,0.9375,1,1,1,1,0.9583,0.6364,0.9444,1,0.9375,1,0.9286,1,0.85,1,0.9545,1
"locus82",1,1,0.9,1,1,1,1,0.9444,0.9545,1,1,0.9375,1,0.875,0.875,1,1,1,1,1,0.9286,1,1,0.95,1,0.9167
"locus83",0,0,0,0,0.6667,0.1111,0,0.5833,0.0455,0,0,0.1,0,0,0.0833,0,0,0.1667,0.0625,0,0.125,0.0455,0.05,0,0.2,0.5833
"locus84",0.3125,0.1667,0.4375,0.5,0.2,0.1667,0.2,0.0833,0.4375,0.2,0.15,0.625,0,0.0833,0.3889,0.125,0.1,0.25,0.3333,0.5,0.5,0.1,0.4,0.2857,0,0.1875
"locus85",0.2727,0.5,0.0556,0.25,0.625,0.2143,0,0.4167,0.15,0,0.7857,0,0.5,0.25,0.2083,0,0.0625,0,0.2,0.25,0.1667,0.0455,0.1,0.3333,0.25,0.6
"locus86",1,0.8125,0.75,0.9545,1,0.7917,1,0.9444,0.8636,0.9375,0.5556,0.875,0.5625,0.875,0.9583,1,1,1,0.9375,0.8889,0.8571,0.5,1,1,0.9545,0.8333
"locus87",0.9167,0.9375,0.95,1,1,1,1,1,1,1,0.9545,0.8125,1,1,1,1,1,1,1,1,0.9286,0.9545,0.9444,1,1,0.9583
"locus88",0.7273,0.6667,0.5,0.8182,0.6667,0.6111,1,0.625,0.7,0.1667,0.6,0.6429,0.4375,0.9286,0.625,0.8182,0.5714,0.6667,0.8125,0.75,0.625,0.9545,0.75,0.5625,0.7222,0.75
"locus89",0.9,0.75,0.8333,0.625,0.5,0.5625,1,0.7857,0.95,0.625,0.375,1,0.3125,0.875,0.9091,0.9545,0.9286,NA,0.8125,0.875,0.6667,0.9444,0.6875,0.8333,0.5556,0.4286
"locus90",0.5,0.75,0.6,0.6111,0.875,0.7917,0.375,0.7778,0.7273,0.9375,0.7727,0.7143,0.95,0.75,0.5,0.5,0.3571,0.5,0.625,0.6111,0.7857,0.95,0.5,0.5714,0.65,0.8
"locus91",1,0.875,1,1,1,0.9583,1,0.9286,0.9091,1,1,0.9375,0.95,0.875,0.9583,1,1,0.8333,0.8125,0.9444,1,0.9545,0.9,0.95,1,0.8333
"locus92",1,1,0.95,0.9545,0.4286,0.7917,1,0.5556,0.9545,1,1,0.8333,1,0.9375,0.9583,1,1,1,0.875,0.9444,0.7,0.9545,0.9,0.85,0.7,0.55
"locus93",0.3,0.5,0.0833,0.2857,0.4167,0.7,0,0.2143,0.2143,0,0.6429,0.375,0.8333,0.0714,0.05,0,0.0625,0,0.0714,0.1875,0.1,0.0909,0.25,0.2778,0.25,0.5
"locus94",0.875,1,0.625,0.9,0.9444,1,0.625,1,0.8571,1,0.9091,1,1,0.875,1,0.9,0.8889,0.5,1,0.9444,1,0.9545,1,0.9,0.9444,0.9545
"locus95",0.5417,0.9286,0.625,0.5,1,0.875,0.2,0.8571,0.6,0.6,0.9,0.8333,0.95,0.6875,0.7778,0.15,0.6875,1,0.5714,0.5,0.6667,0.6875,0.5714,0.95,0.5833,0.75
"locus96",0.8,0.8,0.6667,0.9444,0.625,0.7273,1,0.6875,1,0.5833,0.5,0.8333,0.5556,0.8571,0.9,0.9545,0.8571,0.5,0.9,0.7857,0.8,0.7778,0.85,0.6875,1,0.9167
"locus97",0.85,0.9286,1,0.8,0.9444,0.9545,1,0.9444,0.9545,0.875,0.95,1,0.85,0.9375,1,1,0.75,1,0.9375,0.9444,1,0.8182,0.7778,0.85,0.6,0.9583
"locus98",0.6667,0.75,0.8,0.8636,1,0.8333,1,0.8889,0.75,0.8571,1,0.9286,1,0.75,0.6667,1,0.8333,0.6667,0.75,0.8333,0.75,0.9091,0.7222,0.8,0.8,0.9583
"locus99",1,0.9286,0.95,0.9545,0.875,0.75,1,0.8125,1,1,0.8636,0.75,0.875,0.875,1,1,1,1,0.9375,1,0.5,1,0.95,1,0.9,1
"locus100",0.6667,1,1,0.8889,1,1,0.1667,1,0.9091,0.6667,0.9444,0.9375,0.9444,0.8125,0.9583,0.5625,0.5,1,0.8125,1,0.8571,0.9091,0.9375,0.85,1,1
"locus101",0,0,0.05,0,0,0,0,0,0.0909,0.0625,0.1818,0,0,0.0625,0.1667,0.0455,0,0,0.0625,0,0.1429,0,0,0,0,0
"locus102",1,1,1,0.9091,0.9375,0.8333,1,1,0.9091,0.9375,1,1,0.8333,0.9286,0.9583,1,1,1,1,1,0.9286,1,1,1,1,1
"locus103",1,0.75,0.9,0.6,1,1,1,1,1,1,1,1,0.95,1,0.9545,1,1,1,0.9375,0.9444,0.7143,1,0.95,0.95,0.9545,0.9167
"locus104",0.0833,0,0.1,0,0.0556,0.0833,0,0.1111,0.0909,0,0,0.0625,0.05,0,0.125,0,0.0556,0.1667,0,0.3333,0.1429,0,0,0,0.0455,0
"locus105",0.6667,1,1,0.9091,1,1,1,1,1,1,1,1,1,1,1,1,0.6429,1,0.9375,1,1,1,0.7778,0.9,0.9,1
"locus106",1,0.9375,0.95,0.9545,0.9444,0.8182,1,0.8889,1,1,1,0.9375,1,1,0.9167,0.9545,0.9444,0.6667,0.8125,1,0.8571,1,0.95,1,0.8636,0.9583
"locus107",1,0.9375,1,0.9545,1,0.9167,1,1,0.9545,0.8125,1,1,1,1,1,1,0.9444,1,0.9375,1,1,0.75,1,1,1,1
"locus108",0.7,1,0.95,0.8333,1,1,0.75,0.9444,0.9,0.9,0.9545,0.9375,1,0.9375,0.9167,0.8333,1,0.8333,0.9286,0.7778,0.9286,1,0.8125,0.95,0.9545,1
"locus109",0.9091,0.6667,0.8,0.8,0.75,0.75,1,0.75,0.6364,0.9167,0.5,0.9,0.5714,0.9286,0.7727,0.625,0.7222,0.3333,0.8125,0.75,0.5833,1,0.9375,0.65,0.9286,0.875
"locus110",0,0,0.05,0.2727,0,0.0833,0,0,0,0,0.0455,0,0,0.125,0.0833,0,0,0.1667,0,0.1875,0,0,0,0.1,0,0
"locus111",0.9167,0.9375,1,0.9545,1,1,1,0.8333,1,1,1,0.8125,1,1,0.7273,1,1,1,1,1,0.5714,1,1,1,0.7778,0.95
"locus112",1,1,0.95,0.9091,1,0.9583,1,1,1,0.875,1,1,1,0.875,1,1,0.9444,1,1,1,0.9286,1,0.75,1,1,1
"locus113",0.9583,1,0.9,0.6364,1,1,0.7,1,1,1,0.9091,1,0.95,0.9375,0.875,0.5,0.6667,1,1,0.8571,0.9286,1,0.9167,1,0.8636,1
"locus114",0.125,0,0.05,0.1818,0.2143,0.3636,0,0.0556,0,0.1875,0.2778,0.0625,0.3333,0.125,0.1667,0,0,0,0.0625,0.1875,0,0.2,0.15,0.0625,0.1818,0.125
"locus115",0.4444,0.3571,0.75,0.9444,0.5,0.6429,0,1,0.5556,0.1667,0.2222,0.75,0.25,0.5714,0.7143,0.1667,0.7222,NA,0.5833,0.3333,0.8333,0.3889,0.9375,0.9375,0.5714,0.875
"locus116",0.0909,0.5,0.05,0.0909,0.5,0.45,0.1,0.5,0,0,0.5455,0,0.4375,0.0625,0,0.0455,0,0.1667,0.0625,0,0.0833,0,0.1111,0.05,0.2143,0.5
"locus117",0.3125,0.3125,0.5,0.4545,0.2,0.3,0.5,0.3333,0.375,0.25,0.25,0.4286,0.2778,0.4286,0.4167,0.5,0,0.3333,0.5,0.5,0.25,0.2222,0.55,0.4444,0.5,0.45
"locus118",0.8333,1,1,0.8125,1,0.9545,1,1,0.9545,1,0.9545,1,0.9,1,1,0.9091,0.9444,1,1,1,1,0.9545,0.9,0.9,1,1
"locus119",0.9167,1,0.95,1,1,1,1,0.9444,1,1,1,0.9375,1,1,0.9583,1,0.8889,0.8333,1,1,0.9286,0.9545,0.95,0.95,1,1
"locus120",1,0.75,1,1,1,0.75,1,1,0.9545,1,0.8125,1,0.8333,0.9375,0.9583,1,1,1,1,1,1,0.6875,1,1,1,1
"locus121",0.4444,0.7143,0.9286,0.6875,0.8,0.7727,0.75,0.9167,0.6,0.3333,0.8571,0.5,0.8333,0.3571,0.9286,0.75,0.2778,0.6667,0.8,0.8333,0.8,0.125,0.3125,0.8889,0.6667,0.7917
"locus122",1,1,1,0.9091,0.9444,0.9167,1,0.9444,0.8636,1,0.8182,1,0.9444,0.9375,0.9583,1,1,1,1,1,1,1,0.95,0.95,1,0.9583
"locus123",1,1,1,1,0.9286,0.8636,1,0.9444,0.8636,0.875,0.9,0.8125,0.7,1,0.8636,0.9545,1,0.75,0.9286,0.8889,0.8571,1,0.9,0.9,0.9545,0.8333
"locus124",0.9167,0.875,0.6,0.8125,0.9444,0.875,0.6,1,0.9,1,0.6,0.7857,0.9,1,0.7273,0.9545,0.9375,1,0.625,0.8889,1,0.6818,0.85,0.95,0.9091,1
"locus125",0.9167,0.8571,1,0.8,0.9,0.625,1,0.8,0.7727,0.8571,0.7778,1,0.75,1,0.625,1,0.9444,0.75,0.8571,1,0.8,0.95,0.7857,0.85,0.9091,0.7727
"locus126",0.5,0.5,0.5,0.4375,0.25,0.375,0.4,0.5625,0.45,0.375,0.3571,0.4286,0.25,0.4375,0.4167,0.5455,0.1667,0.3333,0.5714,0.5625,0.6667,0.5,0.45,0.5,0.4,0.7083
"locus127",0.875,1,1,1,1,1,0.9,1,1,0.8125,0.9545,0.9375,1,1,1,1,0.8333,1,1,0.9444,0.8571,1,0.95,1,1,1
"locus128",0.7222,0.8,0.7,0.75,1,0.9583,0.5,0.75,0.7143,0.3333,0.8182,0.9286,1,0.75,0.5,0.2143,0.7143,0.5,0.5714,0.625,0.75,0.8571,0.8333,1,0.7857,0.8125
"locus129",1,0.9375,0.95,1,1,0.9167,1,0.7222,1,1,0.9545,0.8125,1,1,0.9167,1,1,1,1,1,0.9286,1,0.75,0.8,0.9091,0.9583
"locus130",0.9583,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.7778,0.8333,0.9375,1,1,1,0.95,1,0.8182,1
"locus131",0,0.0833,0.2,0,0.2222,0.2778,0,0.5625,0.0625,0,0.0714,0.25,0,0.2,0.05,0,0,0,0.3125,0.1111,0.25,0.2778,0.1111,0.0556,0.5556,0.6111
"locus132",0.8636,0.5625,0.95,0.8889,0.8333,0.4091,0,1,0.8636,0.6,0.1818,0.9375,0.3333,0.9167,0.9583,0.1,0.375,1,0.875,0.4167,1,0.75,0.625,1,0.9545,0.9583
"locus133",1,1,0.75,1,1,1,1,0.9444,0.8333,1,1,1,1,0.9375,0.8889,1,1,1,0.9286,1,1,1,1,0.9,0.9,0.9167
"locus134",0.4167,0.25,0.35,0.2727,0,0,0.7,0.1111,0.5909,0.0625,0,0.5,0.1,0.375,0.2273,0.7,0.3889,0.3333,0.1875,0.5625,0,0.1818,0.55,0.0556,0.25,0
"locus135",0.2273,0.5,0.1875,0.25,0.4167,0.4,0.5,0.4444,0.4545,0.5833,0.5455,0.4286,0.4375,0.5,0.25,0.2727,0.3889,0,0.4286,0.375,0.3,0.0455,0.3,0.3333,0.3,0.5455
"locus136",0.8333,1,1,1,1,1,1,1,1,1,0.9545,1,1,1,1,1,1,1,1,1,1,0.6667,1,1,1,1
"locus137",1,0.8125,1,0.9545,0.8889,0.7727,1,1,1,1,0.6875,1,0.95,0.875,0.9583,1,1,1,1,1,1,1,1,1,0.7727,0.75
"locus138",0.1111,0.0833,0.5833,0,0.1667,0.1818,0.5,0.2,0.4444,0.125,0.5,0,0.2222,0.5714,0.4,0.4545,0.2143,0.3333,0.5,0.375,0.625,0.5,0.25,0.4375,0.25,0.0833
"locus139",1,0.9375,1,0.8636,0.9,0.9444,1,0.8889,1,1,0.8333,1,0.75,0.9375,0.9583,1,1,1,0.9375,0.8889,1,1,0.95,0.85,0.8,0.8333
"locus140",0,0,0.05,0,0,0.0417,0,0.2222,0,0,0.05,0,0.0556,0,0.0417,0,0,0,0.0625,0,0.0714,0,0,0,0,0.0417
"locus141",0.0833,0,0.5,0.0455,0,0,0,0.0556,0.55,0,0.0455,0,0,0.1667,0.0417,0,0,0.1667,0.0714,0.125,0,0,0,0,0.0455,0
"locus142",1,0.9375,1,0.9545,0.9444,1,1,0.8889,0.85,1,0.9545,1,1,1,1,0.5455,0.9444,1,0.9375,0.75,1,1,1,1,0.9545,0.75
"locus143",1,0.8125,0.8125,0.9545,1,1,1,1,0.8636,1,1,1,1,1,0.8,1,1,1,0.5833,0.9444,1,1,1,0.9,1,1
"locus144",0.6667,0.8125,1,0.7143,1,0.9583,1,0.8571,0.875,1,1,0.8333,1,1,0.95,0.9545,0.8889,1,0.75,1,1,1,1,0.9167,0.8636,0.75
